"RuleId","Domain","FindingName","Status","RecordCount","PopulationCount","Summary","Evidence","Source","ReadOnly","RuleEnabled"
"ENTRA-PRIV-001","Privileged Role Exposure","Privileged Role Inventory","INFORMATIONAL","3",,"3 privileged role assignment(s) identified: 2 active and 1 eligible.","Taylor Smith [Global Administrator - Active]; Alex Morgan [Global Reader - Eligible]; External Consultant [User Administrator - Active]","Normalized Privileged Role Inventory","True","True"
"ENTRA-PRIV-002","Privileged Role Exposure","Guest Privileged Identity Review","REVIEW","1",,"1 guest or external privileged assignment(s) require administrative review.","External Consultant [User Administrator - Active]","Normalized Privileged Role Inventory","True","True"
"ENTRA-AUTH-001","Authentication and MFA Posture","MFA Registration Review","REVIEW","1","3","1 of 3 enabled identity(ies) are not registered for MFA and require review.","Alex Morgan [alex.morgan@contoso-lab.example]","Normalized Authentication Registration Inventory","True","True"
"ENTRA-CA-001","Conditional Access","Conditional Access Policy Inventory","INFORMATIONAL","4","4","4 Conditional Access policy(ies) identified: 2 enabled, 1 report-only, and 1 disabled.","Require MFA for All Users [Enabled]; Block Legacy Authentication [Enabled]; Administrator Strong Authentication [Report Only]; Legacy Test Policy [Disabled]","Normalized Conditional Access Inventory","True","True"
"ENTRA-CA-002","Conditional Access","Conditional Access Exclusion Review","REVIEW","2","3","2 active or report-only Conditional Access policy(ies) contain 3 exclusion(s) requiring administrative validation.","Require MFA for All Users [Enabled] {Users: Emergency Access Account 01; Emergency Access Account 02}; Administrator Strong Authentication [Report Only] {Groups: Legacy Administrator Exception}","Normalized Conditional Access Inventory","True","True"
"ENTRA-ACCT-001","Account Hygiene","Disabled Account Inventory","INFORMATIONAL","2",,"2 disabled account(s) identified for lifecycle review.","Jordan Lee; Former Contractor","Normalized Entra User Inventory","True","True"
"ENTRA-GUEST-001","External Identities","Guest Account Inventory","INFORMATIONAL","2",,"2 guest account(s) identified for ownership and lifecycle review.","External Consultant; Former Contractor","Normalized Entra User Inventory","True","True"
"ENTRA-APP-001","Application and Service Principal Posture","Application Registration Inventory","INFORMATIONAL","4","4","4 application registration(s) identified. 1 application(s) have no listed owner and may require ownership review.","Finance Reporting Portal [Owners=2; Credentials=1; ServicePrincipal=True]; Operations Automation Worker [Owners=1; Credentials=1; ServicePrincipal=True]; Legacy Integration App [Owners=0; Credentials=1; ServicePrincipal=True]; Certificate Service Connector [Owners=1; Credentials=1; ServicePrincipal=True]","Normalized Application Inventory","True","True"
"ENTRA-APP-002","Application and Service Principal Posture","Application Credential Expiration Review","WARNING","2","4","2 of 4 application credential(s) require review: 1 expired and 1 expiring within the configured warning window.","Operations Automation Worker [Password: Automation Client Secret; State=Expiring Soon; Days=16]; Legacy Integration App [Password: Legacy Integration Secret; State=Expired; Days=-19]","Normalized Application Credential Inventory","True","True"
"ENTRA-RISK-001","Identity Risk Indicators","Identity Risk Review","NOT ASSESSED","0","0","Identity-risk assessment is disabled by default and was not performed.","Requires supported tenant licensing, permissions, and Microsoft Graph identity-risk data.","Assessment Configuration","True","False"
